타이타닉,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18847,9.33,9.34
아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,8.83,9.07
매트릭스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24452,8.75,9.39
반지의 제왕,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31794,,9.28
어벤져스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72363,7.75,8.80
겨울왕국,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,7.32,9.12
트랜스포머,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61521,5.25,8.84
해리 포터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30688,,9.23
다크나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,8.70,9.33
캐리비안의 해적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37148,,9.08
